WALLET_SIZE,ENS,ARB_DELEGATED,USER_DELEGATED
500-1000 ARB Delegation(LARGE),cygninae.eth,13889.598093572,16
+1000 ARB Delegation(TOP WALLETS),Anonymous(0x1ecf),543890.636081421,1
500-1000 ARB Delegation(LARGE),TreasureDAO,7894109.67461249,8009
500-1000 ARB Delegation(LARGE),MultiDAO,496359.758614697,510
100-500 ARB Delegation(MEDIUM),MaxLomu,100756.270442247,204
0-100 ARB Delegation(SMALL),Snapshot Labs,42819.857225048,1116
0-100 ARB Delegation(SMALL),Anonymous(0x2A2),8875.197951968,315
500-1000 ARB Delegation(LARGE),DefragDAO,442804.723000841,455
100-500 ARB Delegation(MEDIUM),Penn Blockchain,55131.803585564,88
100-500 ARB Delegation(MEDIUM),The Other DAO,24611.842355517,123
+1000 ARB Delegation(TOP WALLETS),Bruce1,1624641.16975997,484
100-500 ARB Delegation(MEDIUM),Arrakis Labs,105397.220106523,146
+1000 ARB Delegation(TOP WALLETS),The Other DAO,3651831.55472461,251
0-100 ARB Delegation(SMALL),Camelot,555466.127985226,9952
0-100 ARB Delegation(SMALL),MultiDAO,39620.314303333,962
100-500 ARB Delegation(MEDIUM),coinflipcanada,184123.594995573,316
0-100 ARB Delegation(SMALL),Blockchain at Michigan,12804.407467442,338
500-1000 ARB Delegation(LARGE),StableLab,463327.563262964,527
+1000 ARB Delegation(TOP WALLETS),Blockchain at Michigan,2980563.90664321,610
100-500 ARB Delegation(MEDIUM),Griff Green,115945.89492444,364
100-500 ARB Delegation(MEDIUM),Blockchain at Michigan,64742.488377895,133
0-100 ARB Delegation(SMALL),Gauntlet,44246.068687213,1518
+1000 ARB Delegation(TOP WALLETS),PlutusDAO,44999358.681884,5365
+1000 ARB Delegation(TOP WALLETS),ChainLinkGod,42163509.4003244,4321
0-100 ARB Delegation(SMALL),Seamus,32371.390193977,908
500-1000 ARB Delegation(LARGE),coinflipcanada,473561.439798225,504
100-500 ARB Delegation(MEDIUM),EnlightenedLime,79609.299462535,156
500-1000 ARB Delegation(LARGE),Frisson,267477.766200518,318
