DELEGATE,GOVERNOR,FOR,AGAINST,ABSTAIN,VOTES,DELEGATE_POWER,PERCENT_QUORUM
0x3070feeafd678751c29171bacd0042fb370dee00,Arbitrum Treasury,6,1,"null",7,3323855.57768355,4.331885283
0x3070feeafd678751c29171bacd0042fb370dee00,Arbitrum Core,3,"null","null",3,3323855.57768355,2.599198919
0x47e98aa12db2017295d33e94002521820442f827,Arbitrum Core,2,"null","null",2,3314370.52104074,2.591781765
0x47e98aa12db2017295d33e94002521820442f827,Arbitrum Treasury,4,"null","null",4,3314370.52104074,4.319523682
0xb29a655f3d67b2b6724fb22b2c2303cb660c946b,Arbitrum Treasury,11,2,1,14,3118844.97403552,4.064700865
0xb29a655f3d67b2b6724fb22b2c2303cb660c946b,Arbitrum Core,6,5,"null",11,3118844.97403552,2.43888409
0xababe91a907fadff921720c43abe4098e7245e99,Arbitrum Core,8,1,"null",9,2851384.60042867,2.229734595
0xababe91a907fadff921720c43abe4098e7245e99,Arbitrum Treasury,8,3,2,13,2851384.60042867,3.71612746
0x5ab0fdc6f0ca9ea178c95ceccf944a4ce1aedddd,Arbitrum Treasury,5,"null","null",5,2717871.8587171,3.542124148
0x5ab0fdc6f0ca9ea178c95ceccf944a4ce1aedddd,Arbitrum Core,3,"null","null",3,2717871.8587171,2.125329886
0x539629494be6b004d33d290e6243806750a3a2f4,Arbitrum Treasury,9,1,"null",10,2586825.65947621,3.371335409
0x539629494be6b004d33d290e6243806750a3a2f4,Arbitrum Core,4,4,"null",8,2586825.65947621,2.022853972
0x367894907d569a9554afc4533e183073252362c3,Arbitrum Treasury,3,1,"null",4,2542266,3.313262088
0x367894907d569a9554afc4533e183073252362c3,Arbitrum Core,2,"null","null",2,2542266,1.988009071
0xc3a43a10ab75be44707efaf1c343e1ee0af3f719,Arbitrum Treasury,1,"null","null",1,2526667,3.29293236
0xb51a5caef263e71ccc06c19aa203f2aba99f738b,Arbitrum Treasury,1,"null","null",1,2526667,3.29293236
0xd937efe66386aeb88dc986c16395d62c75857627,Arbitrum Treasury,1,"null","null",1,2526666,3.292931057
0x39f7253a370e7d07e70dd60fc6a7d51806c0bda8,Arbitrum Treasury,1,"null","null",1,2447485.94783084,3.189737974
0x8326d18edfc50b4335113c33b25116ec268ff3fe,Arbitrum Core,3,"null","null",3,2352587.00015,1.839683297
0x8326d18edfc50b4335113c33b25116ec268ff3fe,Arbitrum Treasury,7,"null","null",7,2352587.00015,3.066058908
0xe876a94ebaa0d8d2da4142766d8c803a7c1d8ed8,Arbitrum Treasury,1,"null","null",1,2271829.27789207,2.960809694
0xd35629a2b7fb9f232fda6c29b72035a7dbafa3c1,Arbitrum Treasury,2,1,1,4,1827801.26307977,2.382120765
0xd35629a2b7fb9f232fda6c29b72035a7dbafa3c1,Arbitrum Core,1,1,"null",2,1827801.26307977,1.429309715
0xd035dfe329f35946edd486ce51b383133f6b2f5a,Arbitrum Treasury,"null",1,"null",1,1502909.82209195,1.958699103
0xd035dfe329f35946edd486ce51b383133f6b2f5a,Arbitrum Core,"null",1,"null",1,1502909.82209195,1.175250095
0x5b39c3907bd9db69b435a6cbf485915135ffffd6,Arbitrum Treasury,2,"null","null",2,1399308.60098719,1.823678615
0xf3fe8c6c75be4afb2f8200fc77339abe4d7cff33,Arbitrum Core,9,"null","null",9,1344814.29878071,1.051622067
0xf3fe8c6c75be4afb2f8200fc77339abe4d7cff33,Arbitrum Treasury,12,"null",1,13,1344814.29878071,1.752657759
0xd914b00ab2b8c9718c2084d44b4478b8e3ff2b41,Arbitrum Core,1,"null","null",1,1323870.68839821,1.035244517
