TIMESPAN,VOTE_OPTION,VOTERS,CUMUL_VOTERS,VOTES,CUMUL_VOTES,VOTING_POWER,CUMUL_VOTING_POWER
2023-06-19 00:00:00.000,For,1080,89604,2105,156885,"null","null"
2023-06-19 00:00:00.000,Against,159,13369,170,17243,"null","null"
2023-06-19 00:00:00.000,Abstain,193,9670,198,10517,"null","null"
2023-06-20 00:00:00.000,For,1006,90610,2141,159026,"null","null"
2023-06-20 00:00:00.000,Against,89,13458,102,17345,"null","null"
2023-06-20 00:00:00.000,Abstain,140,9810,153,10670,"null","null"
2023-06-21 00:00:00.000,For,815,91425,1691,160717,"null","null"
2023-06-21 00:00:00.000,Against,100,13558,129,17474,"null","null"
2023-06-21 00:00:00.000,Abstain,220,10030,253,10923,"null","null"
2023-06-22 00:00:00.000,Abstain,351,10381,366,11289,"null","null"
2023-06-22 00:00:00.000,Against,180,13738,207,17681,"null","null"
2023-06-22 00:00:00.000,For,1498,92923,2968,163685,"null","null"
2023-06-23 00:00:00.000,Abstain,117,10498,122,11411,"null","null"
2023-06-23 00:00:00.000,For,783,93706,1537,165222,"null","null"
2023-06-23 00:00:00.000,Against,83,13821,96,17777,"null","null"
2023-06-24 00:00:00.000,Abstain,16,10514,16,11427,"null","null"
2023-06-24 00:00:00.000,Against,15,13836,15,17792,"null","null"
2023-06-24 00:00:00.000,For,1377,95083,1377,166599,"null","null"
2023-06-25 00:00:00.000,For,25,95108,25,166624,"null","null"
2023-06-25 00:00:00.000,Abstain,3,10517,3,11430,"null","null"
2023-06-25 00:00:00.000,Against,2,13838,2,17794,"null","null"
2023-07-01 00:00:00.000,For,60,95168,60,166684,"null","null"
2023-07-02 00:00:00.000,For,1283,96451,1283,167967,"null","null"
2023-07-02 00:00:00.000,Against,81,13919,81,17875,"null","null"
2023-07-02 00:00:00.000,Abstain,22,10539,22,11452,"null","null"
2023-07-03 00:00:00.000,Against,68,13987,68,17943,"null","null"
2023-07-03 00:00:00.000,Abstain,54,10593,54,11506,"null","null"
2023-07-03 00:00:00.000,For,1106,97557,1106,169073,"null","null"
2023-07-04 00:00:00.000,Abstain,16,10609,16,11522,"null","null"
2023-07-04 00:00:00.000,Against,18,14005,18,17961,"null","null"
2023-07-04 00:00:00.000,For,802,98359,802,169875,"null","null"
2023-07-05 00:00:00.000,Against,42,14047,42,18003,"null","null"
2023-07-05 00:00:00.000,For,1142,99501,1142,171017,"null","null"
2023-07-05 00:00:00.000,Abstain,22,10631,22,11544,"null","null"
2023-07-06 00:00:00.000,Against,747,14794,747,18750,"null","null"
2023-07-06 00:00:00.000,Abstain,304,10935,304,11848,"null","null"
2023-07-06 00:00:00.000,For,8197,107698,8197,179214,"null","null"
2023-07-07 00:00:00.000,For,6655,114353,6655,185869,"null","null"
2023-07-07 00:00:00.000,Against,684,15478,684,19434,"null","null"
2023-07-07 00:00:00.000,Abstain,254,11189,254,12102,"null","null"
2023-07-08 00:00:00.000,For,4331,118684,4331,190200,"null","null"
2023-07-08 00:00:00.000,Abstain,36,11225,36,12138,"null","null"
2023-07-08 00:00:00.000,Against,210,15688,210,19644,"null","null"
2023-07-09 00:00:00.000,Against,120,15808,120,19764,"null","null"
2023-07-09 00:00:00.000,For,1923,120607,1923,192123,"null","null"
2023-07-09 00:00:00.000,Abstain,29,11254,29,12167,"null","null"
2023-07-10 00:00:00.000,For,1156,121763,1156,193279,"null","null"
2023-07-10 00:00:00.000,Against,36,15844,36,19800,"null","null"
2023-07-10 00:00:00.000,Abstain,19,11273,19,12186,"null","null"
2023-07-11 00:00:00.000,Abstain,5,11278,5,12191,"null","null"
2023-07-11 00:00:00.000,For,770,122533,770,194049,"null","null"
2023-07-11 00:00:00.000,Against,19,15863,19,19819,"null","null"
2023-07-12 00:00:00.000,Against,37,15900,37,19856,"null","null"
2023-07-12 00:00:00.000,For,734,123267,734,194783,"null","null"
2023-07-12 00:00:00.000,Abstain,24,11302,24,12215,"null","null"
2023-07-13 00:00:00.000,Abstain,6,11308,6,12221,"null","null"
2023-07-13 00:00:00.000,For,1169,124436,1169,195952,"null","null"
2023-07-13 00:00:00.000,Against,8,15908,8,19864,"null","null"
2023-07-14 00:00:00.000,For,724,125160,724,196676,"null","null"
2023-07-14 00:00:00.000,Against,7,15915,7,19871,"null","null"
2023-07-14 00:00:00.000,Abstain,17,11325,17,12238,"null","null"
2023-07-15 00:00:00.000,Against,10,15925,10,19881,"null","null"
2023-07-15 00:00:00.000,Abstain,11,11336,11,12249,"null","null"
2023-07-15 00:00:00.000,For,588,125748,588,197264,"null","null"
2023-07-16 00:00:00.000,For,44,125792,44,197308,"null","null"
2023-07-20 00:00:00.000,Against,4,15929,4,19885,"null","null"
2023-07-20 00:00:00.000,For,41,125833,41,197349,"null","null"
2023-07-21 00:00:00.000,Abstain,23,11359,23,12272,"null","null"
2023-07-21 00:00:00.000,For,2927,128760,2927,200276,"null","null"
2023-07-21 00:00:00.000,Against,115,16044,115,20000,"null","null"
2023-07-22 00:00:00.000,Against,64,16108,64,20064,"null","null"
2023-07-22 00:00:00.000,Abstain,24,11383,24,12296,"null","null"
2023-07-22 00:00:00.000,For,2109,130869,2109,202385,"null","null"
2023-07-23 00:00:00.000,For,3383,134252,3383,205768,"null","null"
2023-07-23 00:00:00.000,Abstain,63,11446,63,12359,"null","null"
2023-07-23 00:00:00.000,Against,55,16163,55,20119,"null","null"
2023-07-24 00:00:00.000,Against,126,16289,126,20245,"null","null"
2023-07-24 00:00:00.000,For,2911,137163,2911,208679,"null","null"
2023-07-24 00:00:00.000,Abstain,53,11499,53,12412,"null","null"
2023-07-25 00:00:00.000,For,2453,139616,2453,211132,"null","null"
2023-07-25 00:00:00.000,Abstain,63,11562,63,12475,"null","null"
2023-07-25 00:00:00.000,Against,240,16529,240,20485,"null","null"
2023-07-26 00:00:00.000,Against,330,16859,330,20815,"null","null"
2023-07-26 00:00:00.000,For,3518,143134,3518,214650,"null","null"
2023-07-26 00:00:00.000,Abstain,84,11646,84,12559,"null","null"
2023-07-27 00:00:00.000,Against,620,17479,620,21435,"null","null"
2023-07-27 00:00:00.000,For,2760,145894,2760,217410,"null","null"
2023-07-27 00:00:00.000,Abstain,34,11680,34,12593,"null","null"
2023-07-28 00:00:00.000,For,1487,147381,1487,218897,"null","null"
2023-07-28 00:00:00.000,Abstain,61,11741,61,12654,"null","null"
2023-07-28 00:00:00.000,Against,331,17810,331,21766,"null","null"
2023-07-29 00:00:00.000,For,2159,149540,2159,221056,"null","null"
2023-07-29 00:00:00.000,Abstain,15,11756,15,12669,"null","null"
2023-07-29 00:00:00.000,Against,164,17974,164,21930,"null","null"
2023-07-30 00:00:00.000,Abstain,20,11776,20,12689,"null","null"
2023-07-30 00:00:00.000,For,726,150266,726,221782,"null","null"
2023-07-30 00:00:00.000,Against,47,18021,47,21977,"null","null"
2023-07-31 00:00:00.000,Abstain,26,11802,26,12715,"null","null"
2023-07-31 00:00:00.000,For,996,151262,1044,222826,"null","null"
2023-07-31 00:00:00.000,Against,30,18051,30,22007,"null","null"
2023-08-01 00:00:00.000,For,2782,154044,3047,225873,"null","null"
2023-08-01 00:00:00.000,Against,304,18355,327,22334,"null","null"
2023-08-01 00:00:00.000,Abstain,40,11842,43,12758,"null","null"
2023-08-02 00:00:00.000,For,4513,158557,4929,230802,"null","null"
2023-08-02 00:00:00.000,Abstain,80,11922,82,12840,"null","null"
2023-08-02 00:00:00.000,Against,817,19172,820,23154,"null","null"
2023-08-03 00:00:00.000,Against,166,19338,168,23322,"null","null"
2023-08-03 00:00:00.000,Abstain,65,11987,70,12910,"null","null"
2023-08-03 00:00:00.000,For,3427,161984,4411,235213,"null","null"
2023-08-04 00:00:00.000,For,3435,165419,4119,239332,"null","null"
2023-08-04 00:00:00.000,Against,173,19511,174,23496,"null","null"
2023-08-04 00:00:00.000,Abstain,34,12021,45,12955,"null","null"
2023-08-05 00:00:00.000,Abstain,110,12131,116,13071,"null","null"
2023-08-05 00:00:00.000,Against,421,19932,452,23948,"null","null"
2023-08-05 00:00:00.000,For,4689,170108,5768,245100,"null","null"
2023-08-06 00:00:00.000,For,3991,174099,4929,250029,"null","null"
2023-08-06 00:00:00.000,Abstain,82,12213,99,13170,"null","null"
2023-08-06 00:00:00.000,Against,307,20239,330,24278,"null","null"
2023-08-07 00:00:00.000,For,5860,179959,9001,259030,"null","null"
2023-08-07 00:00:00.000,Abstain,262,12475,302,13472,"null","null"
2023-08-07 00:00:00.000,Against,608,20847,636,24914,"null","null"
2023-08-08 00:00:00.000,Against,456,21303,466,25380,"null","null"
2023-08-08 00:00:00.000,For,4372,184331,6525,265555,"null","null"
2023-08-08 00:00:00.000,Abstain,148,12623,160,13632,"null","null"
2023-08-09 00:00:00.000,Abstain,119,12742,135,13767,"null","null"
2023-08-09 00:00:00.000,Against,203,21506,210,25590,"null","null"
2023-08-09 00:00:00.000,For,4203,188534,6396,271951,"null","null"
2023-08-10 00:00:00.000,For,3225,191759,5236,277187,"null","null"
2023-08-10 00:00:00.000,Against,222,21728,245,25835,"null","null"
2023-08-10 00:00:00.000,Abstain,76,12818,80,13847,"null","null"
2023-08-11 00:00:00.000,For,2108,193867,3343,280530,"null","null"
2023-08-11 00:00:00.000,Against,168,21896,171,26006,"null","null"
2023-08-11 00:00:00.000,Abstain,87,12905,89,13936,"null","null"
2023-08-12 00:00:00.000,Abstain,84,12989,93,14029,"null","null"
2023-08-12 00:00:00.000,For,1436,195303,2318,282848,"null","null"
2023-08-12 00:00:00.000,Against,212,22108,221,26227,"null","null"
2023-08-13 00:00:00.000,For,1432,196735,2251,285099,"null","null"
2023-08-13 00:00:00.000,Against,297,22405,303,26530,"null","null"
2023-08-13 00:00:00.000,Abstain,51,13040,60,14089,"null","null"
2023-08-14 00:00:00.000,For,906,197641,1416,286515,"null","null"
2023-08-14 00:00:00.000,Abstain,33,13073,38,14127,"null","null"
2023-08-14 00:00:00.000,Against,104,22509,108,26638,"null","null"
2023-08-15 00:00:00.000,Against,208,22717,208,26846,"null","null"
2023-08-15 00:00:00.000,Abstain,54,13127,54,14181,"null","null"
2023-08-15 00:00:00.000,For,719,198360,719,287234,"null","null"
2023-08-16 00:00:00.000,For,701,199061,701,287935,"null","null"
2023-08-16 00:00:00.000,Against,4,22721,4,26850,"null","null"
2023-08-16 00:00:00.000,Abstain,5,13132,5,14186,"null","null"
2023-08-17 00:00:00.000,Against,15,22736,15,26865,"null","null"
2023-08-17 00:00:00.000,Abstain,10,13142,10,14196,"null","null"
2023-08-17 00:00:00.000,For,523,199584,523,288458,"null","null"
2023-08-18 00:00:00.000,Abstain,24,13166,24,14220,"null","null"
2023-08-18 00:00:00.000,Against,16,22752,16,26881,"null","null"
2023-08-18 00:00:00.000,For,543,200127,543,289001,"null","null"
2023-08-20 00:00:00.000,Against,16,22768,16,26897,"null","null"
2023-08-20 00:00:00.000,For,204,200331,204,289205,"null","null"
2023-08-20 00:00:00.000,Abstain,1,13167,1,14221,"null","null"
2023-08-21 00:00:00.000,Against,342,23110,342,27239,"null","null"
2023-08-21 00:00:00.000,For,2956,203287,2956,292161,"null","null"
2023-08-21 00:00:00.000,Abstain,56,13223,56,14277,"null","null"
2023-08-22 00:00:00.000,Against,451,23561,451,27690,"null","null"
2023-08-22 00:00:00.000,For,5442,208729,5442,297603,"null","null"
2023-08-22 00:00:00.000,Abstain,97,13320,97,14374,"null","null"
2023-08-23 00:00:00.000,Against,202,23763,202,27892,"null","null"
2023-08-23 00:00:00.000,Abstain,88,13408,88,14462,"null","null"
2023-08-23 00:00:00.000,For,2889,211618,2889,300492,"null","null"
2023-08-24 00:00:00.000,For,3045,214663,3228,303720,"null","null"
2023-08-24 00:00:00.000,Abstain,46,13454,46,14508,"null","null"
2023-08-24 00:00:00.000,Against,207,23970,209,28101,"null","null"
2023-08-25 00:00:00.000,Abstain,100,13554,104,14612,"null","null"
2023-08-25 00:00:00.000,Against,453,24423,454,28555,"null","null"
2023-08-25 00:00:00.000,For,3397,218060,4596,308316,"null","null"
2023-08-26 00:00:00.000,Against,350,24773,358,28913,"null","null"
2023-08-26 00:00:00.000,For,4395,222455,6594,314910,"null","null"
2023-08-26 00:00:00.000,Abstain,146,13700,157,14769,"null","null"
2023-08-27 00:00:00.000,Against,87,24860,92,29005,"null","null"
2023-08-27 00:00:00.000,Abstain,38,13738,38,14807,"null","null"
2023-08-27 00:00:00.000,For,2368,224823,3178,318088,"null","null"
2023-08-28 00:00:00.000,Against,200,25060,215,29220,"null","null"
